398698 17283 9.75e-03 0.00e+00 989
226574 981 9.68e-03 0.00e+00 992
229135 1066 9.66e-03 0.00e+00 977
297494 5743 9.65e-03 0.00e+00 992
263341 3209 9.65e-03 0.00e+00 997
363089 13802 9.64e-03 0.00e+00 962
293272 5266 9.63e-03 0.00e+00 923
206249 326 9.61e-03 0.00e+00 984
353099 11750 9.59e-03 0.00e+00 973
295025 5388 9.57e-03 0.00e+00 989
366005 14305 9.56e-03 0.00e+00 940
365402 14211 9.55e-03 2.00e-03 961
365775 14272 9.55e-03 0.00e+00 999
296795 5659 9.55e-03 0.00e+00 934
352833 11708 9.54e-03 0.00e+00 973
399168 17300 9.54e-03 1.00e-03 961
370034 14984 9.54e-03 0.00e+00 934
264758 3490 9.54e-03 0.00e+00 973
339191 10018 9.54e-03 0.00e+00 992
263339 3208 9.53e-03 0.00e+00 997
218032 575 9.53e-03 0.00e+00 933
237289 1337 9.52e-03 1.00e-03 980
355536 12204 9.52e-03 1.00e-03 999
317891 7844 9.52e-03 0.00e+00 980
343925 10579 9.51e-03 0.00e+00 966
339398 10045 9.51e-03 0.00e+00 948
264668 3464 9.50e-03 1.00e-03 995
348381 11109 9.49e-03 1.00e-03 973
264436 3423 9.49e-03 1.00e-03 940
356134 12334 9.49e-03 1.00e-03 902
393776 17061 9.49e-03 0.00e+00 905
252771 2037 9.48e-03 1.00e-03 905
309555 7058 9.48e-03 1.00e-03 902
250971 1909 3.71e-04 1.20e-02 973
229239 1071 3.51e-04 1.00e-02 972
258743 2509 3.12e-04 1.00e-02 991
349467 11261 2.92e-04 1.40e-02 999
272298 4117 2.68e-04 1.20e-02 999
3084 9 2.64e-04 7.00e-03 910
291295 5149 2.55e-04 1.20e-02 997
306512 6716 2.34e-04 5.00e-03 994
360266 13218 2.26e-04 2.50e-02 988
361125 13392 2.18e-04 3.10e-02 981
275493 4319 2.17e-04 4.90e-02 987
412237 17812 2.11e-04 7.00e-03 978
226730 983 2.10e-04 1.50e-02 995
220764 688 2.08e-04 1.80e-02 926
349960 11336 1.97e-04 4.10e-02 949
