398698 17283 4.57e-03 0.00e+00 989
226574 981 4.47e-03 0.00e+00 992
363089 13802 4.40e-03 0.00e+00 962
229135 1066 4.40e-03 0.00e+00 977
297494 5743 4.38e-03 0.00e+00 992
263341 3209 4.38e-03 0.00e+00 997
206249 326 4.37e-03 0.00e+00 984
293272 5266 4.33e-03 0.00e+00 923
295025 5388 4.28e-03 0.00e+00 989
353099 11750 4.26e-03 0.00e+00 973
366005 14305 4.25e-03 0.00e+00 940
296795 5659 4.24e-03 0.00e+00 934
370034 14984 4.23e-03 0.00e+00 934
365402 14211 4.22e-03 1.00e-03 961
399168 17300 4.22e-03 0.00e+00 961
339191 10018 4.21e-03 0.00e+00 992
218032 575 4.20e-03 0.00e+00 933
352833 11708 4.19e-03 0.00e+00 973
365775 14272 4.18e-03 0.00e+00 999
263339 3208 4.18e-03 0.00e+00 997
355536 12204 4.18e-03 1.00e-03 999
264758 3490 4.16e-03 0.00e+00 973
343925 10579 4.16e-03 0.00e+00 966
237289 1337 4.15e-03 1.00e-03 980
317891 7844 4.14e-03 0.00e+00 980
339398 10045 4.13e-03 0.00e+00 948
264668 3464 4.13e-03 1.00e-03 995
356134 12334 4.12e-03 2.00e-03 902
393776 17061 4.11e-03 0.00e+00 905
348381 11109 4.11e-03 1.00e-03 973
264436 3423 4.10e-03 1.00e-03 940
252771 2037 4.10e-03 1.00e-03 905
309555 7058 4.10e-03 1.00e-03 902
229239 1071 6.66e-04 9.00e-03 972
250971 1909 6.61e-04 9.00e-03 973
258743 2509 5.38e-04 6.00e-03 991
270202 4010 5.35e-04 4.50e-02 996
349467 11261 5.04e-04 1.30e-02 999
272298 4117 4.86e-04 1.00e-02 999
265171 3579 4.68e-04 2.80e-02 978
291295 5149 4.54e-04 1.10e-02 997
360266 13218 4.48e-04 1.40e-02 988
275493 4319 4.30e-04 3.00e-02 987
306512 6716 4.24e-04 4.00e-03 994
3084 9 4.22e-04 7.00e-03 910
349960 11336 4.07e-04 3.60e-02 949
361125 13392 4.04e-04 1.70e-02 981
220764 688 3.79e-04 9.00e-03 926
226730 983 3.74e-04 8.00e-03 995
412237 17812 3.60e-04 6.00e-03 978
284981 4807 3.40e-04 2.40e-02 934
231449 1170 3.32e-04 1.00e-02 967
306245 6686 3.31e-04 1.70e-02 982
302961 6341 3.27e-04 3.70e-02 947
229794 1107 3.26e-04 3.50e-02 969
356346 12377 3.24e-04 1.50e-02 935
311032 7235 3.19e-04 2.50e-02 997
302665 6304 3.17e-04 2.10e-02 986
329623 9008 3.11e-04 2.80e-02 952
264832 3502 3.01e-04 5.00e-03 985
269571 3975 2.97e-04 2.20e-02 969
353483 11794 2.94e-04 4.80e-02 909
359663 13096 2.94e-04 1.30e-02 981
303830 6439 2.94e-04 2.40e-02 980
398632 17279 2.93e-04 7.00e-03 926
338072 9903 2.92e-04 1.20e-02 912
324173 8463 2.92e-04 1.80e-02 978
385834 16583 2.91e-04 1.10e-02 902
264657 3458 2.90e-04 2.50e-02 963
337825 9875 2.88e-04 3.20e-02 984
387699 16787 2.81e-04 2.10e-02 956
260010 2621 2.76e-04 1.00e-02 972
369647 14915 2.71e-04 5.00e-03 914
225831 942 2.68e-04 4.00e-03 948
296871 5671 2.68e-04 4.00e-03 980
264708 3474 2.68e-04 1.70e-02 944
356022 12306 2.60e-04 4.00e-03 991
290866 5130 2.58e-04 6.00e-03 909
292303 5212 2.52e-04 1.90e-02 997
233242 1227 2.51e-04 1.00e-02 927
353224 11763 2.49e-04 2.30e-02 908
371236 15154 2.48e-04 4.80e-02 939
216797 509 2.42e-04 1.00e-02 998
356438 12403 2.41e-04 3.00e-03 950
386884 16717 2.39e-04 1.40e-02 990
297185 5702 2.37e-04 4.20e-02 916
268035 3858 2.36e-04 4.00e-02 988
255030 2227 2.36e-04 1.20e-02 932
361405 13442 2.33e-04 1.50e-02 983
239938 1425 2.29e-04 9.00e-03 901
294728 5371 2.27e-04 6.00e-03 922
295256 5426 2.24e-04 3.70e-02 949
384273 16445 2.22e-04 2.60e-02 993
388001 16801 2.22e-04 3.00e-02 925
368683 14742 2.22e-04 9.00e-03 919
379140 15918 2.21e-04 5.00e-03 978
361359 13435 2.21e-04 7.00e-03 981
287641 4947 2.21e-04 1.40e-02 915
265023 3542 2.21e-04 3.50e-02 990
441691 18825 2.20e-04 1.60e-02 949
