398698 17283 4.57e-03
226574 981 4.47e-03
363089 13802 4.40e-03
229135 1066 4.40e-03
297494 5743 4.38e-03
263341 3209 4.38e-03
206249 326 4.37e-03
293272 5266 4.33e-03
327251 8750 4.29e-03
364802 14112 4.29e-03
262916 3117 4.28e-03
295025 5388 4.28e-03
353099 11750 4.26e-03
366005 14305 4.25e-03
296795 5659 4.24e-03
370034 14984 4.23e-03
365402 14211 4.22e-03
222381 800 4.22e-03
399168 17300 4.22e-03
303939 6450 4.21e-03
339191 10018 4.21e-03
218032 575 4.20e-03
263388 3224 4.20e-03
355759 12253 4.20e-03
337255 9810 4.19e-03
381565 16192 4.19e-03
241124 1470 4.19e-03
297991 5787 4.19e-03
352833 11708 4.19e-03
365775 14272 4.18e-03
263339 3208 4.18e-03
358866 12908 4.18e-03
355536 12204 4.18e-03
264758 3490 4.16e-03
343925 10579 4.16e-03
353362 11776 4.16e-03
237289 1337 4.15e-03
310557 7170 4.15e-03
199280 271 4.15e-03
308845 6980 4.15e-03
216361 475 4.15e-03
308925 6990 4.15e-03
256474 2319 4.14e-03
230732 1146 4.14e-03
372654 15313 4.14e-03
317891 7844 4.14e-03
362460 13670 4.14e-03
311165 7246 4.14e-03
339398 10045 4.13e-03
407375 17627 4.13e-03
264668 3464 4.13e-03
357669 12646 4.13e-03
356134 12334 4.12e-03
341083 10239 4.12e-03
215754 391 4.12e-03
297439 5737 4.12e-03
393776 17061 4.11e-03
293599 5292 4.11e-03
257068 2364 4.11e-03
382064 16257 4.11e-03
348381 11109 4.11e-03
270162 4007 4.11e-03
320247 8079 4.10e-03
264436 3423 4.10e-03
252771 2037 4.10e-03
358595 12851 4.10e-03
332931 9368 4.10e-03
309555 7058 4.10e-03
356972 12502 4.09e-03
216492 495 4.09e-03
37869 96 4.09e-03
231751 1185 4.08e-03
222572 814 4.08e-03
379680 15976 4.08e-03
351686 11562 8.00e-04
295897 5506 7.95e-04
229239 1071 6.66e-04
250971 1909 6.61e-04
314196 7550 6.17e-04
269305 3957 5.50e-04
258743 2509 5.38e-04
270202 4010 5.35e-04
350941 11464 5.04e-04
349467 11261 5.04e-04
272298 4117 4.86e-04
265171 3579 4.68e-04
291295 5149 4.54e-04
360266 13218 4.48e-04
367207 14521 4.45e-04
333363 9412 4.30e-04
275493 4319 4.30e-04
309845 7098 4.28e-04
306512 6716 4.24e-04
3084 9 4.22e-04
215832 400 4.17e-04
263967 3320 4.14e-04
388107 16802 4.12e-04
263025 3139 4.11e-04
349960 11336 4.07e-04
361125 13392 4.04e-04
344818 10683 4.01e-04
220764 688 3.79e-04
226730 983 3.74e-04
352121 11609 3.72e-04
304697 6526 3.72e-04
350052 11354 3.66e-04
412237 17812 3.60e-04
411532 17789 3.57e-04
308541 6944 3.56e-04
