,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,Kulzcinsky,Imbalance_Ratio
4,"Carriageway_Hazards|None', 'Pedestrian_Crossing-Physical_Facilities|No physical crossing within 50 meters', 'Did_Police_Officer_Attend_Scene_of_Accident|Yes",Pedestrian_Crossing-Human_Control|None within 50 metres,0.669009752322323,0.995328528096816,0.6678044008558,0.99819830508847,1.00288324599431,0.001919908794407,2.59282072302472,0.989022983799376,0.285213309278258
5,"Carriageway_Hazards|None', 'Accident_Severity|3', 'Pedestrian_Crossing-Physical_Facilities|No physical crossing within 50 meters', 'Did_Police_Officer_Attend_Scene_of_Accident|Yes",Pedestrian_Crossing-Human_Control|None within 50 metres,0.556741552801377,0.995328528096816,0.555676580682479,0.998087133763343,1.00277155289802,0.001535830402349,2.4421320287132,0.989022983799376,0.285213309278258
12,"Carriageway_Hazards|None', 'Pedestrian_Crossing-Physical_Facilities|No physical crossing within 50 meters",Pedestrian_Crossing-Human_Control|None within 50 metres,0.815663542307469,0.995328528096816,0.813981195047182,0.997937449483732,1.00262116609066,0.002128002060053,2.26490060065821,0.989022983799376,0.285213309278258
13,"Pedestrian_Crossing-Human_Control|None within 50 metres', 'Urban_or_Rural_Area|1', 'Did_Police_Officer_Attend_Scene_of_Accident|Yes",Carriageway_Hazards|None,0.507771209592246,0.982690711958483,0.501956858707084,0.988549270271092,1.00596175199512,0.00297480724086,1.51163187423929,0.989022983799376,0.285213309278258
14,"Carriageway_Hazards|None', 'Number_of_Vehicles|2",Pedestrian_Crossing-Human_Control|None within 50 metres,0.595744962329092,0.995328528096816,0.59335998336027,0.995996644336701,1.00067125197462,0.000398026884162,1.16688905410284,0.989022983799376,0.285213309278258
15,"Carriageway_Hazards|None', 'Did_Police_Officer_Attend_Scene_of_Accident|Yes",Pedestrian_Crossing-Human_Control|None within 50 metres,0.803016906524259,0.995328528096816,0.799524327152967,0.995650677659567,1.00032366153853,0.000258691545318,1.07406890948403,0.989022983799376,0.285213309278258
23,"Pedestrian_Crossing-Human_Control|None within 50 metres', 'Did_Police_Officer_Attend_Scene_of_Accident|Yes","Carriageway_Hazards|None', 'Pedestrian_Crossing-Physical_Facilities|No physical crossing within 50 meters",0.814454515988914,0.815663542307469,0.6678044008558,0.819940693735302,1.00524376928229,0.003483545295967,1.02375412588531,0.989022983799376,0.285213309278258
26,"Carriageway_Hazards|None', 'Pedestrian_Crossing-Physical_Facilities|No physical crossing within 50 meters","Pedestrian_Crossing-Human_Control|None within 50 metres', 'Did_Police_Officer_Attend_Scene_of_Accident|Yes",0.815663542307469,0.814454515988914,0.6678044008558,0.818725327561676,1.00524376928229,0.003483545295967,1.02355989127061,0.989022983799376,0.285213309278258
27,Pedestrian_Crossing-Human_Control|None within 50 metres,"Carriageway_Hazards|None', 'Pedestrian_Crossing-Physical_Facilities|No physical crossing within 50 meters",0.995328528096816,0.815663542307469,0.813981195047182,0.817801531925954,1.00262116609066,0.002128002060053,1.01173439953192,0.989022983799376,0.285213309278258
30,Carriageway_Hazards|None,Pedestrian_Crossing-Human_Control|None within 50 metres,0.982690711958483,0.995328528096816,0.97811331626732,0.995341977251378,1.00001351227678,1.32163592712065E-05,1.00288730976367,0.989022983799376,0.285213309278258
33,Pedestrian_Crossing-Human_Control|None within 50 metres,"Carriageway_Hazards|None', 'Did_Police_Officer_Attend_Scene_of_Accident|Yes",0.995328528096816,0.803016906524259,0.799524327152967,0.803276812211693,1.00032366153853,0.000258691545318,1.0013211746432,0.989022983799376,0.285213309278258
34,Pedestrian_Crossing-Human_Control|None within 50 metres,Carriageway_Hazards|None,0.995328528096816,0.982690711958483,0.97811331626732,0.982703990347375,1.00001351227678,1.32163592712065E-05,1.00076771400794,0.989022983799376,0.285213309278258
40,Carriageway_Hazards|None,"Pedestrian_Crossing-Human_Control|None within 50 metres', 'Did_Police_Officer_Attend_Scene_of_Accident|Yes",0.982690711958483,0.814454515988914,0.799524327152967,0.81360729008981,0.998959762782977,-0.00083256102198,0.995454618909119,0.989022983799376,0.285213309278258
41,"Pedestrian_Crossing-Human_Control|None within 50 metres', 'Did_Police_Officer_Attend_Scene_of_Accident|Yes",Carriageway_Hazards|None,0.814454515988914,0.982690711958483,0.799524327152967,0.981668480507081,0.998959762782977,-0.00083256102198,0.944236403763656,0.989022983799376,0.285213309278258
42,"Carriageway_Hazards|None', 'Accident_Severity|3', 'Pedestrian_Crossing-Physical_Facilities|No physical crossing within 50 meters","Pedestrian_Crossing-Human_Control|None within 50 metres', 'Did_Police_Officer_Attend_Scene_of_Accident|Yes",0.694417679272144,0.814454515988914,0.555676580682479,0.80020511756687,0.982504365630851,-0.00989503418326,0.928679862824748,0.989022983799376,0.285213309278258
43,"Pedestrian_Crossing-Human_Control|None within 50 metres', 'Pedestrian_Crossing-Physical_Facilities|No physical crossing within 50 meters', 'Did_Police_Officer_Attend_Scene_of_Accident|Yes","Carriageway_Hazards|None', 'Accident_Severity|3",0.681346965564432,0.837792766274266,0.555676580682479,0.81555596306524,0.973457871559437,-0.015150978390323,0.879438752379447,0.989022983799376,0.285213309278258
44,"Pedestrian_Crossing-Human_Control|None within 50 metres', 'Pedestrian_Crossing-Physical_Facilities|No physical crossing within 50 meters', 'Did_Police_Officer_Attend_Scene_of_Accident|Yes",Carriageway_Hazards|None,0.681346965564432,0.982690711958483,0.6678044008558,0.980123835001726,0.997387909618438,-0.001748933825464,0.870856528058609,0.989022983799376,0.285213309278258
