,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
239,"frozenset({'Day_of_Week|weekday', 'Weather_Conditions|Fog or mist'})",frozenset({'Time_of_Day|Rush Hour'}),0.024670991735197198,0.49980047638833464,0.015365375042681597,0.6228114057028514,1.246120072160435,0.0030348016204573714,1.326125792705198
596,"frozenset({'Day_of_Week|weekday', 'Road_Type|Single carriageway', 'Weather_Conditions|Fog or mist'})",frozenset({'Time_of_Day|Rush Hour'}),0.018158705605996403,0.49980047638833464,0.01123914447566429,0.6189397371998189,1.2383736439637074,0.0021634147631917656,1.312652019751422
603,"frozenset({'Day_of_Week|weekday', 'Weather_Conditions|Fog or mist'})","frozenset({'Accident_Severity|3', 'Time_of_Day|Rush Hour'})",0.024670991735197198,0.4392481456645782,0.013275519481320887,0.5381023845255961,1.2250532867052915,0.0024388321099293835,1.214017642761561
604,"frozenset({'Accident_Severity|3', 'Weather_Conditions|Fog or mist'})","frozenset({'Day_of_Week|weekday', 'Time_of_Day|Rush Hour'})",0.026271294517420263,0.41861699282949166,0.013275519481320887,0.5053241465706232,1.2071276494417142,0.0022779091727005048,1.1752807482718792
750,"frozenset({'Weather_Conditions|Snowing without high winds', 'Time_of_Day|Rush Hour'})","frozenset({'Day_of_Week|weekday', 'Road_Type|Single carriageway', 'Accident_Severity|3'})",0.01994824727763402,0.4994425680540071,0.01184800003291111,0.5939368942049907,1.1891995840866443,0.0018849961843932193,1.2327084751173791
237,"frozenset({'Accident_Severity|3', 'Weather_Conditions|Fog or mist'})",frozenset({'Time_of_Day|Rush Hour'}),0.026271294517420263,0.49980047638833464,0.015455880598488557,0.5883181960538678,1.1771061130337073,0.0023254750833436658,1.2150148945546198
742,"frozenset({'Road_Type|Roundabout', 'Time_of_Day|Rush Hour'})","frozenset({'Weather_Conditions|Raining without high winds', 'Accident_Severity|3', 'Day_of_Week|weekday'})",0.03482406954117797,0.4468670679079641,0.018257438939603996,0.5242764323685765,1.1732268274388826,0.0026957090911147556,1.1627192128530133
658,"frozenset({'Day_of_Week|weekday', 'Road_Type|Roundabout'})","frozenset({'Accident_Severity|3', 'Time_of_Day|Rush Hour'})",0.05280999181336109,0.4392481456645782,0.027172236186589545,0.5145283165848719,1.1713841519043762,0.003975545210009132,1.155066038848493
592,"frozenset({'Road_Type|Single carriageway', 'Accident_Severity|3', 'Weather_Conditions|Fog or mist'})",frozenset({'Time_of_Day|Rush Hour'}),0.01928179727578277,0.49980047638833464,0.011230916697863658,0.5824621292937914,1.1653893039534247,0.0015938652338041356,1.1979740251241062
667,"frozenset({'Weather_Conditions|Raining without high winds', 'Accident_Severity|2', 'Time_of_Day|Rush Hour'})","frozenset({'Day_of_Week|weekday', 'Road_Type|Single carriageway'})",0.036979747324943746,0.5756071071544642,0.024753269513203526,0.6693736789409277,1.1629003023433853,0.0034674641321896203,1.283602864666393
741,"frozenset({'Weather_Conditions|Raining without high winds', 'Road_Type|Roundabout', 'Day_of_Week|weekday'})","frozenset({'Accident_Severity|3', 'Time_of_Day|Rush Hour'})",0.03583197232175548,0.4392481456645782,0.018257438939603996,0.5095292766934557,1.1600032503780815,0.00251831154176841,1.143293223609907
749,"frozenset({'Weather_Conditions|Snowing without high winds', 'Road_Type|Single carriageway', 'Time_of_Day|Rush Hour'})","frozenset({'Day_of_Week|weekday', 'Accident_Severity|3'})",0.01513499726426388,0.6773271241036865,0.01184800003291111,0.7828214188638217,1.1557508787201412,0.0015966558625900937,1.4857490743711361
739,"frozenset({'Weather_Conditions|Raining without high winds', 'Road_Type|Roundabout', 'Time_of_Day|Rush Hour'})","frozenset({'Day_of_Week|weekday', 'Accident_Severity|3'})",0.023387458398298495,0.6773271241036865,0.018257438939603996,0.780650835532102,1.1525462479671766,0.0024164790025898684,1.4710467517807078
659,"frozenset({'Road_Type|Roundabout', 'Time_of_Day|Rush Hour'})","frozenset({'Day_of_Week|weekday', 'Accident_Severity|3'})",0.03482406954117797,0.6773271241036865,0.027172236186589545,0.7802717070289428,1.1519865058726002,0.003584949314676688,1.468508545409836
32,frozenset({'Weather_Conditions|Fog or mist'}),frozenset({'Time_of_Day|Rush Hour'}),0.03128201119800559,0.49980047638833464,0.0180064917166847,0.5756180957390847,1.1516957724782986,0.00237172761753629,1.1786542229758612
609,"frozenset({'Accident_Severity|2', 'Time_of_Day|Rush Hour'})","frozenset({'Day_of_Week|weekday', 'Road_Type|Single carriageway'})",0.0562574307118262,0.5756071071544642,0.03724303621456399,0.6620109689213894,1.1501090947157795,0.004860859266587005,1.2556410232935316
484,"frozenset({'Weather_Conditions|Snowing without high winds', 'Time_of_Day|Rush Hour'})","frozenset({'Day_of_Week|weekday', 'Accident_Severity|3'})",0.01994824727763402,0.6773271241036865,0.015525816709793935,0.7783048051144567,1.1490825886301173,0.0020143277503248923,1.455479790903465
232,"frozenset({'Road_Type|Single carriageway', 'Weather_Conditions|Fog or mist'})",frozenset({'Time_of_Day|Rush Hour'}),0.02304600561957224,0.49980047638833464,0.013209697258915826,0.5731881470903248,1.146833935078064,0.0016912926714053832,1.1719438441123167
520,"frozenset({'Day_of_Week|weekday', 'Weather_Conditions|Other'})","frozenset({'Accident_Severity|3', 'Time_of_Day|Rush Hour'})",0.09581247248836798,0.4392481456645782,0.048058450133495696,0.5015886646629455,1.1419255143446234,0.005972999261441646,1.1250784534348701
